# OBJECT = MAXI_J1535-571
# INST = NICER
# TODAY = 2018-07-03 18:03:36.031125
# INFILE = /Users/abbie/Dropbox/Research/MAXIJ1535_B-QPO/in/rise_evtlists.txt
# N_BINS = 16384
# DT = 0.003906250 s
# DF = 0.015625000 Hz
# N_SECOND = 64
# 
# ni+obsID start_time end_time total_rate broad_rate rms hard_rate soft_rate hardness nz_rate ibg_rate hrej_rate
# 
1050360105 116752147.000000000 116752211.000000000 7598.265625 2862.843750 0.127182941 131.968750 2271.875000 0.05808803 0.687500 0.000000 0.109375
1050360105 116752211.000000000 116752275.000000000 7514.203125 2827.343750 0.138067564 132.265625 2247.093750 0.05886075 0.515625 0.015625 0.093750
1050360105 116752275.000000000 116752339.000000000 7422.453125 2789.453125 0.138999016 131.234375 2226.734375 0.05893580 0.781250 0.000000 0.109375
1050360105 116752339.000000000 116752403.000000000 7516.265625 2829.453125 0.145621495 131.312500 2246.484375 0.05845244 0.781250 0.000000 0.062500
1050360105 116752403.000000000 116752467.000000000 7486.734375 2813.718750 0.134491764 131.515625 2242.500000 0.05864688 0.812500 0.000000 0.062500
1050360105 116752467.000000000 116752531.000000000 7464.000000 2811.171875 0.141693445 130.453125 2227.171875 0.05857344 0.515625 0.000000 0.156250
1050360105 116752531.000000000 116752595.000000000 7488.859375 2812.812500 0.139724924 130.875000 2246.109375 0.05826742 0.859375 0.015625 0.171875
1050360105 116757321.000000000 116757385.000000000 7590.609375 2849.109375 0.142819192 133.031250 2270.593750 0.05858875 1.156250 0.000000 0.109375
1050360105 116757385.000000000 116757449.000000000 7604.250000 2842.609375 0.136576021 132.093750 2288.031250 0.05773249 0.796875 0.000000 0.125000
1050360105 116757449.000000000 116757513.000000000 7638.265625 2857.937500 0.142949169 133.187500 2289.750000 0.05816683 0.765625 0.000000 0.125000
1050360105 116757513.000000000 116757577.000000000 7721.937500 2898.875000 0.134968088 130.187500 2307.015625 0.05643113 0.968750 0.000000 0.093750
1050360105 116757641.000000000 116757705.000000000 7628.562500 2838.937500 0.139678029 129.156250 2295.609375 0.05626229 0.828125 0.000000 0.078125
1050360105 116757705.000000000 116757769.000000000 7687.015625 2885.671875 0.144947508 132.343750 2298.718750 0.05757283 0.781250 0.000000 0.109375
1050360105 116757769.000000000 116757833.000000000 7679.406250 2879.546875 0.143231205 134.687500 2306.437500 0.05839634 0.703125 0.000000 0.125000
1050360105 116757833.000000000 116757897.000000000 7591.593750 2828.437500 0.137023047 132.359375 2290.109375 0.05779609 0.687500 0.031250 0.125000
1050360105 116757897.000000000 116757961.000000000 7702.515625 2881.140625 0.147361943 136.093750 2303.953125 0.05906967 1.031250 0.031250 0.109375
